_TYPE_,_NAME_,male,educ_hs,educ_somecoll,educ_bach,educ_graddeg,fb_raceth_blacknh,fb_raceth_aiannh,fb_raceth_asianaapinh,fb_raceth_othernh,fb_raceth_hisp,fb_age_18_24,fb_age_25_34,fb_age_35_44,fb_age_45_54,fb_age_55_64,fb_age_65_74
MEAN,,0.4866412891,0.2757899065,0.3035347104,0.1926536432,0.1137554295,0.1211098559,0.0064862007,0.0600086611,0.0206520922,0.1639740245,0.1189444769,0.1784586087,0.1647720934,0.1597420378,0.1662890544,0.1237688165
COV,male,0.2498215458,0.0074299013,-0.005605657,-0.003158751,-0.002325556,-0.002372688,0.0000141091,-0.001222594,-2.539337E-6,0.0022675845,0.0030420526,0.0035471043,0.00197087,0.0010661665,-0.000736197,-0.002542003
COV,educ_hs,0.0074299013,0.1997298348,-0.08371181,-0.05313193,-0.031372599,0.0059884901,0.0004209442,-0.007038367,-0.000708728,0.0031275403,0.0061483945,-0.005736636,-0.007272869,-0.002866783,0.0030594751,0.0005629605
COV,educ_somecoll,-0.005605657,-0.08371181,0.2114013908,-0.058477068,-0.034528721,0.0044740713,0.0003046962,-0.005492021,0.0010478484,-0.004695419,0.0155322635,0.0000653685,-0.003309203,-0.003062171,-0.000989809,-0.001398481
COV,educ_bach,-0.003158751,-0.05313193,-0.058477068,0.1555382176,-0.021915398,-0.007698312,-0.000643949,0.0061119384,0.0001914478,-0.013406961,-0.009775062,0.0117488138,0.0051959569,0.0024393938,-0.002024418,-0.00233345
COV,educ_graddeg,-0.002325556,-0.031372599,-0.034528721,-0.021915398,0.1008151321,-0.004501725,-0.000421075,0.0063682715,-0.000151417,-0.010914869,-0.01248338,-0.000411536,0.0060863772,0.0035100573,0.0001369889,0.0033086636
COV,fb_raceth_blacknh,-0.002372688,0.0059884901,0.0044740713,-0.007698312,-0.004501725,0.1064422591,-0.000785543,-0.00726764,-0.002501172,-0.019858871,0.0023514578,0.002865625,0.0011152769,0.0004338419,-0.00075016,-0.002651404
COV,fb_raceth_aiannh,0.0000141091,0.0004209442,0.0003046962,-0.000643949,-0.000421075,-0.000785543,0.0064441299,-0.000389228,-0.000133954,-0.001063568,0.0001246138,0.00008796,0.0000288451,0.0000365619,0.0000408131,-0.000127782
COV,fb_raceth_asianaapinh,-0.001222594,-0.007038367,-0.005492021,0.0061119384,0.0063682715,-0.00726764,-0.000389228,0.0564076219,-0.001239304,-0.009839862,-0.000316595,0.0017322685,0.0021496067,0.0007865219,-0.001507752,-0.001447354
COV,fb_raceth_othernh,-2.539337E-6,-0.000708728,0.0010478484,0.0001914478,-0.000151417,-0.002501172,-0.000133954,-0.001239304,0.0202255834,-0.003386407,0.0020017537,0.0017024522,0.0004008485,-0.000499886,-0.001222866,-0.001252285
COV,fb_raceth_hisp,0.0022675845,0.0031275403,-0.004695419,-0.013406961,-0.010914869,-0.019858871,-0.001063568,-0.009839862,-0.003386407,0.1370865444,0.0075684947,0.0078231257,0.0071595178,0.0015269922,-0.007503597,-0.009112558
COV,fb_age_18_24,0.0030420526,0.0061483945,0.0155322635,-0.009775062,-0.01248338,0.0023514578,0.0001246138,-0.000316595,0.0020017537,0.0075684947,0.1047966888,-0.021226666,-0.019598731,-0.019000433,-0.019779165,-0.014721617
COV,fb_age_25_34,0.0035471043,-0.005736636,0.0000653685,0.0117488138,-0.000411536,0.002865625,0.00008796,0.0017322685,0.0017024522,0.0078231257,-0.021226666,0.1466111342,-0.029404999,-0.028507342,-0.029675713,-0.022087611
COV,fb_age_35_44,0.00197087,-0.007272869,-0.003309203,0.0051959569,0.0060863772,0.0011152769,0.0000288451,0.0021496067,0.0004008485,0.0071595178,-0.019598731,-0.029404999,0.1376222512,-0.02632103,-0.027399796,-0.020393647
COV,fb_age_45_54,0.0010661665,-0.002866783,-0.003062171,0.0024393938,0.0035100573,0.0004338419,0.0000365619,0.0007865219,-0.000499886,0.0015269922,-0.019000433,-0.028507342,-0.02632103,0.1342245197,-0.026563353,-0.019771083
COV,fb_age_55_64,-0.000736197,0.0030594751,-0.000989809,-0.002024418,0.0001369889,-0.00075016,0.0000408131,-0.001507752,-0.001222866,-0.007503597,-0.019779165,-0.029675713,-0.027399796,-0.026563353,0.1386370053,-0.0205814
COV,fb_age_65_74,-0.002542003,0.0005629605,-0.001398481,-0.00233345,0.0033086636,-0.002651404,-0.000127782,-0.001447354,-0.001252285,-0.009112558,-0.014721617,-0.022087611,-0.020393647,-0.019771083,-0.0205814,0.108450097
